symbol,r2,slope,trend,max_gap_up,annualised_slope,mul,atr,target_percent,included
TATAPOWER,0.7514448712669326,0.0027536837462311618,1,0.062245359891353554,1.9886874062267812,1.4943889519622537,6.857142857142861,3.7639000000000005,0
GAIL,0.7793785262350177,0.0025844189429956588,1,0.055217391304347774,1.9065041342191504,1.48588838238869,3.064285714285716,4.097600000000001,0
FEDERALBNK,0.7790653875719658,0.002571293034613689,1,0.04152884968761468,1.9002742714113992,1.4804379117501565,3.3535714285714278,4.2775,0
CGPOWER,0.7733777584392675,0.002551754190533969,1,0.04872984855886675,1.8910382151633924,1.4624868959660577,12.64285714285713,3.18675,0
DELHIVERY,0.8222601767855126,0.0022419635431909866,1,0.056629834254143675,1.7504335904873871,1.4393118335654584,12.68571428571428,3.0617999999999994,0
OBEROIRLTY,0.7831129946495627,0.002409673438382345,1,0.030820086529580522,1.8252075520494664,1.4293437519424552,24.075000000000014,4.7184,0
PGHH,0.7464572407630762,0.0025009764803665523,1,0.05656905542384168,1.8672440259047176,1.3938178234081735,468.77142857142854,0.0,0
MRF,0.8731234507293482,0.0018569630376590223,1,0.04273500524421683,1.5901212215950333,1.388372128077022,1190.317857142856,0.0,0
SONACOMS,0.7264357565363189,0.0025543258716996505,1,0.04242744994266553,1.8922512948777541,1.3745990009513502,17.867857142857158,2.9595,0
BEL,0.8011444797345949,0.0021569607200625724,1,0.041407867494824016,1.7137080189436789,1.3729277192536369,3.296428571428574,4.299,0
LICHSGFIN,0.7323405934660133,0.002428637694051296,1,0.0819069354634207,1.8338605408075392,1.3430105167888975,9.275000000000006,4.5295000000000005,0
SHRIRAMFIN,0.6439357520275365,0.0029421352161159886,1,0.11201231045426846,2.0843434252526705,1.3421832510237297,44.271428571428565,3.9077,0
ZYDUSLIFE,0.6865708745750756,0.0026770267759133708,1,0.04295463669209153,1.9510398375362015,1.3395271275880432,13.300000000000011,4.39705,0
HINDALCO,0.7608356827161851,0.0021546133905059207,1,0.03822612310890406,1.7127048166476124,1.3030869384653847,11.142857142857139,3.8092,0
SUNPHARMA,0.7001983484641676,0.002421527782396962,1,0.029164220003914616,1.8306116612604992,1.2817912618938478,17.578571428571404,5.65225,0
VOLTAS,0.694300346195095,0.002430278509254688,1,0.040865090062492365,1.834611127788342,1.2737711411568193,16.278571428571436,5.4297,0
WHIRLPOOL,0.675383041582436,0.0025305908002629354,1,0.021119957360338483,1.8810846684106177,1.270452684825251,34.40714285714288,3.3619000000000003,0
MOTHERSON,0.624976369233259,0.0028246729968292245,1,0.06048150322959473,2.0241963876001963,1.2650749089374493,2.075000000000002,4.7783999999999995,0
VBL,0.6860037894021798,0.0023625396536075135,1,0.04320584780054826,1.8038771328618397,1.2374665487591614,21.05000000000001,3.6395999999999997,0
WIPRO,0.7485189251526468,0.001791242348289842,1,0.0426324006244746,1.5642555074689162,1.1708748511147413,6.978571428571423,6.02,0
INFY,0.6622258785945239,0.002011367576709746,1,0.044575488975166756,1.6525786254579096,1.0943803321903947,16.821428571428537,7.348000000000001,0
TATASTEEL,0.6412373445657892,0.0020022153683085455,1,0.03699330972058247,1.648809317505686,1.0572781084526772,2.8000000000000034,4.5325,0
POLICYBZR,0.5914434792063386,0.0023240915112211166,1,0.08246708246708247,1.7866614147929396,1.0567092433288554,22.924999999999994,3.197,0
BERGEPAINT,0.7714902916625094,0.0012433175074873788,1,0.029308323563892145,1.3642929472651162,1.052538763798669,13.239285714285725,5.0183,0
LICI,0.7317149230520059,0.0013799370118734563,1,0.028284244974287012,1.4116319457579694,1.032912160568046,12.478571428571415,5.3932,0
MARICO,0.6732054959914338,0.0017106989237215483,1,0.04007884362680666,1.5331268400725095,1.0321094147887933,10.25357142857145,5.279849999999999,0
LAURUSLABS,0.547068275919841,0.002388279997575207,1,0.054168952276467355,1.815494981110115,0.9931997092570349,9.157142857142857,4.1025,0
DIXON,0.4877119219036089,0.0028052116721377558,1,0.07657548518401865,2.0143994316702116,0.9824466183014164,131.117857142857,0.0,0
MSUMI,0.6041651211376801,0.0017985413085252456,1,0.06816220880069017,1.5671073495530434,0.9467916016784632,1.9214285714285708,3.4684,0
SYNGENE,0.5627203711082471,0.0016403086844257576,1,0.05870392234028598,1.5064278890058294,0.8476976607491736,20.339285714285722,3.3579999999999997,0
OFSS,0.5982203482903459,0.001392067645086877,1,0.046203075001951116,1.4159134978237902,0.8470282658171496,77.51428571428566,4.3477500000000004,0
TECHM,0.5217999494278571,0.0018744434661791493,1,0.04543714103382267,1.597072430511866,0.8333523134737165,22.89999999999996,5.0518,0
M&M,0.517712708310975,0.001811398094652069,1,0.04978479682787139,1.5721433397544697,0.8139185862773479,25.871428571428574,4.70265,0
PAGEIND,0.5263209318893844,0.001728458503755556,1,0.04005131547992468,1.5399371587800572,0.8105011604602107,809.3714285714294,0.0,0
TRIDENT,0.394221473159441,0.0025699136700649905,1,0.10185185185185198,1.8996207712437037,0.7488712988839663,1.6892857142857156,2.3924499999999997,0
INDUSINDBK,0.5232910930678518,0.0012656960232824406,1,0.03305240014657377,1.3719374341418087,0.717922639532771,26.3964285714286,4.346549999999999,0
TVSMOTOR,0.5077219711880345,0.0013070398001441689,1,0.05883253002830701,1.3861728325427227,0.7037904029458925,26.646428571428583,4.44165,0
TATACHEM,0.4921731647281822,0.0013504963343546855,1,0.057766819302571305,1.4012942986835384,0.6896794496986357,21.160714285714278,4.3412,0
CROMPTON,0.5230823841377596,0.0010315889400222063,1,0.036403288038919526,1.2940337846733119,0.6768862772417242,6.878571428571429,4.4268,0
ADANIENSOL,0.3915486183710767,0.001898405308361346,-1,0.07966375687035243,1.6066502212182763,0.6290816743236007,38.55714285714288,1.6660000000000001,0
TCS,0.46073011194769586,0.0010666402192993892,1,0.052117166334884946,1.3054110091159543,0.6014421603677482,39.9178571428571,6.8838,0
PERSISTENT,0.3498406357082776,0.0020420199172610557,1,0.04316021142640665,1.6652653117559724,0.5825774752876525,147.1642857142856,0.0,0
IRCTC,0.401973980879452,0.0013948356674265189,1,0.03520188161505299,1.4168922925955292,0.5695538353320382,17.935714285714287,3.62775,0
HAL,0.4468518787763742,0.0009272435388562511,1,0.0373366521468575,1.2607458351900693,0.5633666451141716,85.82857142857142,4.10555,0
GRASIM,0.45581640282080094,0.0007825484557225544,1,0.03404144928371715,1.2159924882286903,0.5542693218415168,29.907142857142908,5.54925,0
CANBK,0.37615422036907853,0.0015352503538267667,1,0.055159847606426955,1.4674383556284432,0.5519831306010996,6.939285714285717,4.7474,0
HINDUNILVR,0.7664837579980206,-0.0013932001777957924,-1,0.02068518518518515,0.7057156420829015,0.5409195774216884,24.903571428571436,10.055200000000001,0
NESTLEIND,0.663851226172377,-0.0008927535207984241,-1,0.0139040127953726,0.7998843968928652,0.5310042376734808,267.8785714285714,0.0,0
UBL,0.4183945539899617,0.0009275411590853623,1,0.05108912143150704,1.2608395576253537,0.5275284043655605,30.500000000000032,5.04015,0
INDUSTOWER,0.36389618804922985,0.0013706800272270307,1,0.05180442374854469,1.4083733356055719,0.5125016881770463,6.357142857142857,2.82,0
